model,run,model_p,model_f,odm,grad,intercept,num_nan
ACCESS-CM2,r1i1p1f1_gn,1,1,-0.9143217471414707,0.13130458430663958,-261.8821830565876,0
ACCESS-ESM1-5,r1i1p1f1_gn,1,1,5.689967140504993,-0.3697544060396259,740.5768491442615,0
BCC-CSM2-MR,r1i1p1f1_gn,1,1,11.83925133193461,-0.7734870266469445,1549.1447167927367,0
BCC-CSM2-MR,r2i1p1f1_gn,1,1,4.641881668682837,-0.20371251583099367,409.5205068827828,0
BCC-CSM2-MR,r3i1p1f1_gn,1,1,-1.1159802052799763,0.16662474995740284,-332.28267074561813,0
BCC-ESM1,r1i1p1f1_gn,1,1,-2.0532752002782857,0.22213844924973394,-443.55344308412447,0
BCC-ESM1,r2i1p1f1_gn,1,1,-0.5451811742955348,0.13147999142127603,-261.86166412408164,0
BCC-ESM1,r3i1p1f1_gn,1,1,2.31351404135354,-0.16764950901538406,335.51691320942933,0
CAMS-CSM1-0,r1i1p1f1_gn,1,1,6.403432297987352,-0.20962937648462054,423.0418180611707,0
CESM2,r11i1p1f1_gr,1,1,-2.186490852565499,0.28053181901763513,-559.7434811501154,0
CESM2,r2i1p1f1_gr,1,1,-0.1548391114389467,0.16501180454196845,-328.11580063860123,0
CESM2,r4i1p1f1_gr,1,1,0.5846743811866739,0.11111971448066534,-220.26575814913568,0
CESM2,r6i1p1f1_gr,1,1,1.5231322885711422,0.0784830705110017,-154.46197035204474,0
CESM2,r8i1p1f1_gr,1,1,17.38460158220524,-1.0286800782545498,2061.8862571131226,0
CIESM,r1i1p1f1_gn,1,1,6.406028228037169,-0.2945971382235775,591.9178404473975,0
CMCC-CM2-SR5,r1i1p1f1_gn,1,1,5.57522318755515,-0.2599355820300803,522.1971924723398,0
CMCC-ESM2,r1i1p1f1_gn,1,1,4.784148075960686,1.1356082235063827,-2269.2713194955704,30
CNRM-CM6-1,r10i1p1f2_gn,1,2,4.99202750005584,0.9992696966443743,-1996.0455400303035,30
CNRM-CM6-1,r1i1p1f2_gn,1,2,6.430234768770744,0.6684645925249372,-1332.170111762416,30
CNRM-CM6-1,r2i1p1f2_gn,1,2,4.9990512716597415,1.0243180956159317,-2046.1979351992434,30
CNRM-CM6-1,r3i1p1f2_gn,1,2,4.5950493999149495,0.8609763281685965,-1719.5100477576996,30
CNRM-CM6-1,r4i1p1f2_gn,1,2,5.544644493642061,1.0823938710348944,-2161.949082253734,30
CNRM-CM6-1,r5i1p1f2_gn,1,2,4.035653987310936,0.822400198663984,-1642.820743837317,30
CNRM-CM6-1,r6i1p1f2_gn,1,2,6.552764076771946,0.6343272141047885,-1263.6874821680672,30
CNRM-CM6-1,r7i1p1f2_gn,1,2,6.232546467366427,0.7907463414328437,-1577.2370022519033,30
CNRM-CM6-1,r8i1p1f2_gn,1,2,5.292621670944104,1.0518501758575438,-2101.037355483787,30
CNRM-CM6-1,r9i1p1f2_gn,1,2,5.046056189917137,0.7400159256798879,-1476.8358349840585,30
CNRM-ESM2-1,r2i1p1f2_gn,1,2,6.103965261362602,0.757613216127668,-1511.0165000342924,30
CNRM-ESM2-1,r3i1p1f2_gn,1,2,5.30127129831176,1.0199317114693778,-2037.1119809191173,30
CNRM-ESM2-1,r4i1p1f2_gn,1,2,5.3759128439253665,1.101682036263602,-2200.7423647739374,30
CNRM-ESM2-1,r5i1p1f2_gn,1,2,-4.9160373484598825,0.4132050332829758,-826.1610409983743,0
CanESM5,r10i1p1f1_gn,1,1,5.362822940729668,-0.21906666502222294,440.7578196723977,0
CanESM5,r10i1p2f1_gn,2,1,5.338930420734098,-0.2189210129806358,440.4444437197477,0
CanESM5,r11i1p1f1_gn,1,1,4.321022413620628,-0.19476020405651523,391.40692797594465,0
CanESM5,r12i1p1f1_gn,1,1,5.602951302246196,-0.256534107523075,515.4644900043577,0
CanESM5,r13i1p1f1_gn,1,1,6.364496245102031,-0.3229808996052049,648.2890342104467,0
CanESM5,r14i1p1f1_gn,1,1,6.154344965963837,-0.23464723122089226,472.5157170174872,0
CanESM5,r15i1p1f1_gn,1,1,4.664054839097073,-0.23770130285194951,477.0953942573467,0
CanESM5,r16i1p1f1_gn,1,1,5.674331294115328,-0.2589686981890653,520.3746189448826,0
CanESM5,r17i1p1f1_gn,1,1,4.90319238184155,-0.19743030038732973,397.2959144016594,0
CanESM5,r18i1p1f1_gn,1,1,6.125226528229922,-0.2790900870916007,560.8167746227864,0
CanESM5,r19i1p1f1_gn,1,1,4.316535331258453,-0.1684049831977069,339.0214394367009,0
CanESM5,r1i1p1f1_gn,1,1,5.147538584089222,-0.21513238502515336,432.7231538215815,0
CanESM5,r1i1p2f1_gn,2,1,6.051949509265631,-0.3075466842809394,617.3009845176327,0
CanESM5,r20i1p1f1_gn,1,1,4.796588072916808,-0.20432756810095476,410.8976296735644,0
CanESM5,r21i1p1f1_gn,1,1,5.4843142951024335,-0.24198459049756313,486.4286879090091,0
CanESM5,r22i1p1f1_gn,1,1,5.690423340382783,-0.24585573861651136,494.3287038406991,0
CanESM5,r23i1p1f1_gn,1,1,5.438550850946979,-0.2721853420836432,546.4069182421878,0
CanESM5,r24i1p1f1_gn,1,1,5.720201688457803,-0.27984591258845587,561.9139529580139,0
CanESM5,r25i1p1f1_gn,1,1,5.851236660396996,-0.23320441607035886,469.3450136002352,0
CanESM5,r2i1p1f1_gn,1,1,4.129465530265645,-0.14419263897485257,290.71233549278514,0
CanESM5,r2i1p2f1_gn,2,1,4.808793219376877,-0.21481888093696755,431.7613190815999,0
CanESM5,r3i1p1f1_gn,1,1,3.9429651997065642,-0.17016958882929123,342.1550229979229,0
CanESM5,r3i1p2f1_gn,2,1,5.396190376901902,-0.2494800588663097,501.2378073736924,0
CanESM5,r4i1p1f1_gn,1,1,4.9838757638626054,-0.11984419955096501,243.17422237140556,0
CanESM5,r4i1p2f1_gn,2,1,5.7877547102993825,-0.23854244394038485,479.8908620418143,0
CanESM5,r5i1p1f1_gn,1,1,5.8497725192781385,-0.2994172144041637,600.9414861475535,0
CanESM5,r5i1p2f1_gn,2,1,3.822509949633702,-0.16826821786732069,338.25559296093354,0
CanESM5,r6i1p1f1_gn,1,1,6.116469494120223,-0.2650701624247098,532.943417313231,0
CanESM5,r6i1p2f1_gn,2,1,5.4180154443938955,-0.26636245946933257,534.8134036396923,0
CanESM5,r7i1p1f1_gn,1,1,5.420949567472878,-0.26090197882750477,523.9636324871386,0
CanESM5,r7i1p2f1_gn,2,1,5.546154864082015,-0.2735474356322369,549.2216831831529,0
CanESM5,r8i1p1f1_gn,1,1,5.469077202130632,-0.25101350909954795,504.35842653748216,0
CanESM5,r8i1p2f1_gn,2,1,6.212363627999302,-0.27838894130026826,559.5103844622824,0
CanESM5,r9i1p1f1_gn,1,1,5.057200089874475,-0.2228387799701789,447.94927528060504,0
CanESM5,r9i1p2f1_gn,2,1,-0.042621965570473125,0.12438955209938331,-247.2668567630948,0
E3SM-1-1,r1i1p1f1_gr,1,1,-4.3911505101959465,0.3705715499206553,-740.9021059774983,0
E3SM-1-1-ECA,r1i1p1f1_gr,1,1,2.4135271028836005,-0.10535668325009957,211.8099350624565,0
EC-Earth3-CC,r1i1p1f1_gn,1,1,3.9997824223001235,-0.17868675860812458,359.1397151559477,0
EC-Earth3-Veg,r1i1p1f1_gn,1,1,4.3689491251600545,-0.2597225417125793,520.5675007789114,0
FGOALS-f3-L,r1i1p1f1_gn,1,1,-22.197336946974914,1.405026800383165,-2814.688102708515,0
FGOALS-g3,r1i1p1f1_gn,1,1,5.017665933353315,-0.34502591845611813,690.7566788648882,0
FIO-ESM-2-0,r1i1p1f1_gn,1,1,5.064154807841721,-0.22648286248419436,455.198843995178,0
GFDL-CM4,r1i1p1f1_gn,1,1,0.17773655465835653,0.05743968244685166,-113.98363230845932,0
GFDL-ESM4,r1i1p1f1_gn,1,1,-0.4771729821532701,0.09304297737043679,-185.40009050589637,0
GISS-E2-1-G,r10i1p1f1_gn,1,1,0.6805988326164847,0.0062413430612826264,-11.724070501682736,0
GISS-E2-1-G,r1i1p1f1_gn,1,1,0.69866251692104,-0.012162943739381725,24.87251319894222,0
GISS-E2-1-G,r2i1p1f1_gn,1,1,0.824412755617774,0.03366707151767672,-66.08889188576471,0
GISS-E2-1-G,r3i1p1f1_gn,1,1,0.7889675643767753,0.03141035895615735,-61.639120860985955,0
GISS-E2-1-G,r4i1p1f1_gn,1,1,1.0627585773162807,-0.07058297363947721,141.34641868577725,0
GISS-E2-1-G,r5i1p1f1_gn,1,1,0.5849450834419428,0.0014934757378723786,-2.3833379455794095,0
GISS-E2-1-G,r6i1p1f1_gn,1,1,0.2666683006113866,0.038123870328586495,-75.50452397745427,0
GISS-E2-1-G,r7i1p1f1_gn,1,1,1.8074894273770619,-0.053804476324042165,108.74388612141087,0
GISS-E2-1-G,r8i1p1f1_gn,1,1,-0.00017590908612488378,0.08468495745763197,-168.31152885612966,0
GISS-E2-1-G,r9i1p1f1_gn,1,1,0.6601863494673801,0.012783042907407961,-24.746111429005943,0
GISS-E2-1-G-CC,r1i1p1f1_gn,1,1,2.1347710034409593,0.06255218212822379,-122.18769097640383,0
HadGEM3-GC31-LL,r1i1p1f3_gn,1,3,2.2806798860754665,0.008200912786650036,-14.01863427739148,0
HadGEM3-GC31-LL,r2i1p1f3_gn,1,3,0.959572897138804,0.1094501110378226,-216.5725227905336,0
HadGEM3-GC31-LL,r3i1p1f3_gn,1,3,0.9629971744609639,0.07588111988480944,-149.85072859659783,0
HadGEM3-GC31-LL,r4i1p1f3_gn,1,3,2.2156944713154862,0.005353060548063065,-8.423513367959856,0
HadGEM3-GC31-LL,r5i1p1f3_gn,1,3,5.725302178776207,-0.2682687672915146,538.9094771706615,0
HadGEM3-GC31-MM,r1i1p1f3_gn,1,3,2.85230057184823,-0.12558655790687379,252.45558441175987,0
HadGEM3-GC31-MM,r2i1p1f3_gn,1,3,6.05921945301951,-0.29895421604929145,600.2307238509862,0
HadGEM3-GC31-MM,r3i1p1f3_gn,1,3,5.2477572344567465,-0.16784888957074562,338.84742525631367,0
HadGEM3-GC31-MM,r4i1p1f3_gn,1,3,-18.687555940872155,1.186754228859526,-2377.3615857991804,0
INM-CM4-8,r1i1p1f1_gr1,1,1,-16.50042931906123,1.0542431285551617,-2111.8086473224453,0
INM-CM5-0,r1i1p1f1_gr1,1,1,5.2786677167247005,-0.2935617846968264,588.7327148016673,0
IPSL-CM5A2-INCA,r1i1p1f1_gn,1,1,-1.4122627353178696,0.06188652277146217,-124.41172674359893,0
IPSL-CM6A-LR,r1i1p1f1_gn,1,1,-1.0703750973450379,0.1595376989740202,-318.15155180821023,0
IPSL-CM6A-LR,r2i1p1f1_gn,1,1,-1.3986879364159936,0.11682931577070027,-233.59695303068278,0
IPSL-CM6A-LR,r3i1p1f1_gn,1,1,-0.597600493216571,0.1303070342747861,-259.58283111435395,0
IPSL-CM6A-LR,r4i1p1f1_gn,1,1,-0.24083562200339978,0.11963445163678324,-238.0143082501101,0
IPSL-CM6A-LR,r5i1p1f1_gn,1,1,0.07519361144066838,0.04175866844782186,-82.92015992860529,0
IPSL-CM6A-LR,r6i1p1f1_gn,1,1,-1.7141581674920754,0.1651295498216781,-329.9091384380773,0
IPSL-CM6A-LR,r7i1p1f1_gn,1,1,1.357853643545783,-0.086824585914305,173.92171814822697,0
IPSL-CM6A-LR,r8i1p1f1_gn,1,1,-0.09125849361292865,0.11423491116349452,-227.1331444310583,0
IPSL-CM6A-LR,r9i1p1f1_gn,1,1,-3.822983156526145,0.2300723643944223,-461.09180739044047,0
IPSL-CM6A-LR-INCA,r1i1p1f1_gn,1,1,10.550944992601153,-0.650980933970236,1304.3755512584453,0
MCM-UA-1-0,r1i1p1f1_gn,1,1,-1.0842517142998414,0.04190893326947123,-84.37825658737391,0
MIROC6,r1i1p1f1_gm,1,1,-3.1674969892210996,0.3082302736645346,-615.7751658974837,0
MPI-ESM-1-2-HAM,r1i1p1f1_gn,1,1,2.0825604953195747,-0.10600225691169389,212.76204610731116,0
MPI-ESM1-2-HR,r1i1p1f1_gn,1,1,3.359764146257715,-0.2242477348228219,449.0521371066162,0
MPI-ESM1-2-LR,r1i1p1f1_gn,1,1,1.4941225192109178,0.009748426615961701,-17.880875380012963,0
MRI-ESM2-0,r1i1p1f1_gm,1,1,-3.1799342453259296,0.30511397108277405,-609.5939517723394,0
NESM3,r1i1p1f1_gn,1,1,-8.575442774685612,0.6634783444163346,-1327.2386523021505,0
NorESM2-LM,r1i1p1f1_gm,1,1,-7.529373712267205,0.5940324453564608,-1188.168858858233,0
NorESM2-MM,r1i1p1f1_gm,1,1,-3.4244967707833216,0.2678046271408233,-535.6861932131696,0
SAM0-UNICON,r1i1p1f1_gn,1,1,-0.9550514801184902,0.19699849228524485,-392.48955489704264,0
UKESM1-0-LL,r10i1p1f2_gn,1,2,-4.436964974685566,0.4091168879112528,-817.5567796983005,0
UKESM1-0-LL,r11i1p1f2_gn,1,2,-2.8713551892678506,0.3035702556325662,-606.2172382589931,0
UKESM1-0-LL,r12i1p1f2_gn,1,2,-4.485989719679677,0.3816098318205837,-762.9355304630898,0
UKESM1-0-LL,r13i1p1f2_gn,1,2,-1.3749639468978414,0.2596985266458343,-517.5257856554936,0
UKESM1-0-LL,r16i1p1f2_gn,1,2,-0.885307845192542,0.203594799436811,-405.5299717258544,0
UKESM1-0-LL,r17i1p1f2_gn,1,2,-2.095261056440463,0.3794420529854036,-756.2363413649301,0
UKESM1-0-LL,r18i1p1f2_gn,1,2,-4.3405500899262455,0.4297183812193889,-858.4058327634617,0
UKESM1-0-LL,r19i1p1f2_gn,1,2,-1.4809853526129229,0.23519314377464373,-468.92735860471737,0
UKESM1-0-LL,r1i1p1f2_gn,1,2,-3.966988378979156,0.40733312464588844,-813.5415736126824,0
UKESM1-0-LL,r2i1p1f2_gn,1,2,-3.10773691540035,0.35951477823033456,-717.6433586481903,0
UKESM1-0-LL,r3i1p1f2_gn,1,2,-2.092290521546261,0.2523289700226434,-503.59611844154995,0
UKESM1-0-LL,r4i1p1f2_gn,1,2,-1.2152041280111243,0.22720596346078845,-452.78705650632816,0
UKESM1-0-LL,r5i1p1f3_gn,1,3,-3.784884700395058,0.4613435221945763,-920.7051350621155,0
UKESM1-0-LL,r6i1p1f3_gn,1,3,-4.147971560608073,0.36331087350768626,-726.2283326571345,0
UKESM1-0-LL,r7i1p1f3_gn,1,3,0.4222655486225518,0.1835532631913974,-364.3898450442798,0
UKESM1-0-LL,r8i1p1f2_gn,1,2,-2.0648922448860834,0.288185729900689,-574.8340304225055,0
UKESM1-0-LL,r9i1p1f2_gn,1,2,2.899022831634624,-0.09988289782746268,201.4162822637167,0
